,0,1,2,3,4,5,6,7,8,9
0,396.0,0.0,390.0,0.0,935.0,779.0,0.0,0.0,0.0,1.0
1,84.0,0.0,0.0,0.0,0.0,0.0,2415.0,0.0,1.0,1.0
2,0.0,0.0,63.0,0.0,0.0,1103.0,0.0,0.0,1334.0,1.0
3,0.0,8.0,5.0,0.0,2439.0,48.0,0.0,0.0,0.0,1.0
4,1933.0,6.0,25.0,536.0,0.0,0.0,0.0,0.0,0.0,1.0
5,10.0,146.0,13.0,0.0,2314.0,17.0,0.0,0.0,0.0,1.0
6,0.0,2262.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,1.0
7,161.0,0.0,96.0,2243.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,1175.0,770.0,293.0,0.0,7.0,255.0,0.0,0.0,1.0
9,1757.0,0.0,0.0,280.0,160.0,10.0,0.0,5.0,288.0,1.0
10,0.0,731.0,0.0,1769.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.0,326.0,68.0,2048.0,58.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,421.0,2079.0,0.0,0.0,0.0,1.0
13,0.0,917.0,13.0,1491.0,79.0,0.0,0.0,0.0,0.0,1.0
14,15.0,226.0,0.0,739.0,1511.0,0.0,9.0,0.0,0.0,1.0
15,441.0,0.0,506.0,34.0,0.0,199.0,0.0,1280.0,40.0,1.0
16,0.0,0.0,0.0,1631.0,869.0,0.0,0.0,0.0,0.0,1.0
17,0.0,606.0,592.0,0.0,1302.0,0.0,0.0,0.0,0.0,1.0
18,0.0,0.0,17.0,1866.0,0.0,0.0,8.0,0.0,609.0,1.0
19,0.0,0.0,1082.0,215.0,1203.0,0.0,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,2275.0,0.0,64.0,0.0,0.0,161.0,1.0
21,1665.0,0.0,0.0,0.0,76.0,547.0,212.0,0.0,0.0,1.0
22,0.0,1700.0,115.0,0.0,0.0,86.0,294.0,255.0,50.0,1.0
23,4.0,67.0,0.0,0.0,2429.0,0.0,0.0,0.0,0.0,1.0
24,1028.0,0.0,58.0,0.0,523.0,0.0,551.0,0.0,340.0,1.0
25,899.0,0.0,1023.0,74.0,6.0,0.0,0.0,0.0,498.0,1.0
26,0.0,0.0,0.0,0.0,338.0,2162.0,0.0,0.0,0.0,1.0
27,0.0,0.0,114.0,2180.0,0.0,0.0,0.0,0.0,206.0,1.0
28,4.0,0.0,9.0,0.0,0.0,1183.0,0.0,0.0,1304.0,1.0
29,1209.0,0.0,107.0,1184.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.0,0.0,391.0,1768.0,0.0,0.0,62.0,279.0,0.0,1.0
31,0.0,0.0,18.0,271.0,2100.0,9.0,0.0,4.0,98.0,1.0
32,0.0,2178.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,1.0
33,778.0,1432.0,0.0,180.0,0.0,53.0,12.0,0.0,45.0,1.0
34,0.0,172.0,298.0,533.0,1497.0,0.0,0.0,0.0,0.0,1.0
35,0.0,0.0,1815.0,685.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0.0,456.0,0.0,1525.0,450.0,0.0,69.0,0.0,0.0,1.0
37,165.0,503.0,0.0,1267.0,357.0,0.0,208.0,0.0,0.0,1.0
38,1602.0,0.0,0.0,0.0,537.0,347.0,0.0,0.0,14.0,1.0
39,6.0,420.0,682.0,686.0,320.0,4.0,0.0,382.0,0.0,1.0
40,0.0,0.0,0.0,0.0,1894.0,606.0,0.0,0.0,0.0,1.0
41,41.0,436.0,23.0,677.0,1323.0,0.0,0.0,0.0,0.0,1.0
42,0.0,1950.0,0.0,175.0,0.0,0.0,4.0,0.0,371.0,1.0
43,15.0,2071.0,80.0,0.0,162.0,0.0,0.0,172.0,0.0,1.0
44,367.0,0.0,324.0,559.0,1250.0,0.0,0.0,0.0,0.0,1.0
45,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0
46,0.0,0.0,57.0,0.0,1930.0,301.0,212.0,0.0,0.0,1.0
47,0.0,0.0,25.0,863.0,474.0,1138.0,0.0,0.0,0.0,1.0
48,0.0,0.0,505.0,1457.0,0.0,538.0,0.0,0.0,0.0,1.0
49,0.0,0.0,195.0,1511.0,0.0,611.0,183.0,0.0,0.0,1.0
50,0.0,0.0,249.0,0.0,1881.0,319.0,51.0,0.0,0.0,1.0
51,1326.0,665.0,505.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
52,0.0,701.0,1.0,0.0,1378.0,420.0,0.0,0.0,0.0,1.0
53,0.0,3.0,649.0,1795.0,53.0,0.0,0.0,0.0,0.0,1.0
54,0.0,36.0,665.0,1606.0,155.0,0.0,38.0,0.0,0.0,1.0
55,0.0,0.0,0.0,218.0,2282.0,0.0,0.0,0.0,0.0,1.0
56,2337.0,24.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,252.0,0.0,1899.0,90.0,0.0,0.0,0.0,0.0,259.0,1.0
58,0.0,1574.0,831.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0
59,18.0,116.0,2366.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,0.0,60.0,1096.0,812.0,387.0,0.0,145.0,0.0,0.0,1.0
61,0.0,0.0,0.0,144.0,695.0,1661.0,0.0,0.0,0.0,1.0
62,0.0,664.0,0.0,351.0,0.0,1485.0,0.0,0.0,0.0,1.0
63,442.0,0.0,680.0,767.0,0.0,0.0,0.0,610.0,1.0,1.0
64,113.0,0.0,29.0,1856.0,0.0,0.0,31.0,0.0,471.0,1.0
65,0.0,0.0,0.0,1620.0,706.0,5.0,0.0,0.0,169.0,1.0
66,90.0,32.0,906.0,1195.0,277.0,0.0,0.0,0.0,0.0,1.0
67,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,0.0,750.0,0.0,103.0,294.0,0.0,1353.0,0.0,0.0,1.0
69,708.0,0.0,49.0,0.0,317.0,1426.0,0.0,0.0,0.0,1.0
70,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,1.0
71,0.0,0.0,508.0,1318.0,0.0,674.0,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,1.0
73,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.0,1.0
74,0.0,352.0,842.0,800.0,0.0,0.0,0.0,0.0,506.0,1.0
75,0.0,419.0,63.0,1920.0,0.0,0.0,98.0,0.0,0.0,1.0
76,0.0,41.0,1391.0,996.0,0.0,0.0,72.0,0.0,0.0,1.0
77,1344.0,120.0,21.0,762.0,0.0,0.0,15.0,0.0,238.0,1.0
78,801.0,0.0,572.0,0.0,656.0,0.0,469.0,2.0,0.0,1.0
79,0.0,48.0,1473.0,626.0,26.0,0.0,269.0,0.0,58.0,1.0
80,0.0,1978.0,45.0,468.0,0.0,0.0,0.0,0.0,9.0,1.0
81,1454.0,0.0,0.0,0.0,341.0,324.0,0.0,0.0,381.0,1.0
82,14.0,0.0,122.0,2334.0,3.0,12.0,15.0,0.0,0.0,1.0
83,0.0,83.0,5.0,0.0,2144.0,0.0,0.0,268.0,0.0,1.0
84,53.0,0.0,1435.0,715.0,0.0,297.0,0.0,0.0,0.0,1.0
85,0.0,0.0,0.0,0.0,465.0,2035.0,0.0,0.0,0.0,1.0
86,0.0,1344.0,0.0,744.0,325.0,0.0,0.0,87.0,0.0,1.0
87,0.0,1870.0,0.0,0.0,622.0,8.0,0.0,0.0,0.0,1.0
88,0.0,0.0,0.0,0.0,2062.0,318.0,0.0,120.0,0.0,1.0
89,0.0,1.0,334.0,1781.0,7.0,376.0,1.0,0.0,0.0,1.0
90,0.0,41.0,114.0,889.0,1456.0,0.0,0.0,0.0,0.0,1.0
91,485.0,0.0,0.0,30.0,0.0,0.0,449.0,0.0,1536.0,1.0
92,186.0,0.0,1480.0,791.0,33.0,10.0,0.0,0.0,0.0,1.0
93,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,1.0
94,232.0,2005.0,7.0,256.0,0.0,0.0,0.0,0.0,0.0,1.0
95,0.0,2145.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,1.0
96,171.0,0.0,0.0,407.0,1848.0,74.0,0.0,0.0,0.0,1.0
97,0.0,180.0,267.0,0.0,1762.0,246.0,45.0,0.0,0.0,1.0
98,0.0,45.0,710.0,138.0,1161.0,0.0,0.0,446.0,0.0,1.0
99,0.0,0.0,34.0,0.0,2384.0,82.0,0.0,0.0,0.0,1.0
100,505.0,710.0,215.0,1040.0,0.0,0.0,30.0,0.0,0.0,1.0
101,2186.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,592.0,0.0,134.0,128.0,1572.0,74.0,0.0,0.0,0.0,1.0
103,0.0,0.0,44.0,635.0,1820.0,1.0,0.0,0.0,0.0,1.0
104,0.0,0.0,566.0,0.0,1762.0,172.0,0.0,0.0,0.0,1.0
105,15.0,2368.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0
106,10.0,1889.0,19.0,0.0,0.0,434.0,108.0,15.0,25.0,1.0
107,165.0,1374.0,433.0,0.0,528.0,0.0,0.0,0.0,0.0,1.0
108,0.0,0.0,27.0,673.0,190.0,1610.0,0.0,0.0,0.0,1.0
109,0.0,0.0,179.0,14.0,2307.0,0.0,0.0,0.0,0.0,1.0
110,0.0,160.0,181.0,0.0,2135.0,24.0,0.0,0.0,0.0,1.0
111,33.0,0.0,456.0,0.0,373.0,229.0,0.0,0.0,1409.0,1.0
112,0.0,152.0,0.0,0.0,302.0,2046.0,0.0,0.0,0.0,1.0
113,10.0,170.0,66.0,1968.0,0.0,286.0,0.0,0.0,0.0,1.0
114,0.0,0.0,215.0,1145.0,63.0,324.0,753.0,0.0,0.0,1.0
115,0.0,465.0,0.0,801.0,618.0,616.0,0.0,0.0,0.0,1.0
116,0.0,6.0,675.0,0.0,603.0,1124.0,0.0,92.0,0.0,1.0
117,0.0,0.0,0.0,0.0,2495.0,5.0,0.0,0.0,0.0,1.0
118,699.0,158.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,0.0,730.0,12.0,1403.0,355.0,0.0,0.0,0.0,0.0,1.0
120,2090.0,260.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0
121,0.0,0.0,444.0,0.0,295.0,0.0,1761.0,0.0,0.0,1.0
122,0.0,0.0,15.0,215.0,2270.0,0.0,0.0,0.0,0.0,1.0
123,0.0,188.0,0.0,524.0,831.0,426.0,531.0,0.0,0.0,1.0
124,1470.0,0.0,0.0,1.0,652.0,354.0,0.0,0.0,23.0,1.0
125,0.0,161.0,348.0,0.0,1954.0,35.0,2.0,0.0,0.0,1.0
126,0.0,0.0,196.0,1914.0,32.0,21.0,0.0,0.0,337.0,1.0
127,0.0,0.0,236.0,0.0,1582.0,682.0,0.0,0.0,0.0,1.0
128,2139.0,0.0,318.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0
129,278.0,0.0,242.0,1015.0,965.0,0.0,0.0,0.0,0.0,1.0
130,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,1947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,1.0
132,0.0,33.0,0.0,629.0,135.0,1703.0,0.0,0.0,0.0,1.0
133,275.0,0.0,712.0,0.0,833.0,211.0,436.0,33.0,0.0,1.0
134,0.0,1061.0,140.0,0.0,1299.0,0.0,0.0,0.0,0.0,1.0
135,485.0,0.0,989.0,1026.0,0.0,0.0,0.0,0.0,0.0,1.0
136,1741.0,646.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,0.0,1833.0,497.0,46.0,64.0,0.0,60.0,0.0,0.0,1.0
138,0.0,0.0,0.0,1171.0,1329.0,0.0,0.0,0.0,0.0,1.0
139,0.0,0.0,1607.0,0.0,354.0,539.0,0.0,0.0,0.0,1.0
140,0.0,0.0,266.0,1701.0,529.0,0.0,4.0,0.0,0.0,1.0
141,0.0,0.0,0.0,407.0,2093.0,0.0,0.0,0.0,0.0,1.0
142,568.0,1434.0,460.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0
143,0.0,0.0,643.0,908.0,0.0,658.0,0.0,291.0,0.0,1.0
144,0.0,263.0,51.0,2177.0,9.0,0.0,0.0,0.0,0.0,1.0
145,2313.0,0.0,80.0,0.0,0.0,0.0,9.0,0.0,98.0,1.0
146,11.0,342.0,0.0,2147.0,0.0,0.0,0.0,0.0,0.0,1.0
147,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,107.0,0.0,217.0,0.0,0.0,2176.0,0.0,0.0,0.0,1.0
149,0.0,0.0,607.0,1723.0,170.0,0.0,0.0,0.0,0.0,1.0
150,584.0,609.0,0.0,986.0,0.0,321.0,0.0,0.0,0.0,1.0
151,0.0,0.0,398.0,1998.0,80.0,0.0,0.0,0.0,24.0,1.0
152,0.0,18.0,2.0,0.0,2480.0,0.0,0.0,0.0,0.0,1.0
153,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,1.0
154,708.0,19.0,64.0,117.0,1592.0,0.0,0.0,0.0,0.0,1.0
155,0.0,45.0,349.0,1797.0,0.0,309.0,0.0,0.0,0.0,1.0
156,276.0,0.0,1656.0,558.0,9.0,0.0,0.0,0.0,1.0,1.0
157,0.0,0.0,20.0,2453.0,0.0,4.0,23.0,0.0,0.0,1.0
158,0.0,4.0,0.0,245.0,2099.0,0.0,152.0,0.0,0.0,1.0
159,439.0,746.0,250.0,0.0,993.0,70.0,2.0,0.0,0.0,1.0
160,0.0,0.0,31.0,1644.0,587.0,0.0,238.0,0.0,0.0,1.0
161,0.0,170.0,135.0,0.0,1900.0,0.0,0.0,295.0,0.0,1.0
162,476.0,0.0,360.0,1526.0,138.0,0.0,0.0,0.0,0.0,1.0
163,588.0,0.0,0.0,1326.0,0.0,0.0,586.0,0.0,0.0,1.0
164,801.0,0.0,1340.0,0.0,0.0,359.0,0.0,0.0,0.0,1.0
165,0.0,374.0,36.0,0.0,2090.0,0.0,0.0,0.0,0.0,1.0
166,844.0,0.0,374.0,740.0,0.0,0.0,0.0,0.0,542.0,1.0
167,0.0,2103.0,0.0,81.0,316.0,0.0,0.0,0.0,0.0,1.0
168,79.0,0.0,0.0,2421.0,0.0,0.0,0.0,0.0,0.0,1.0
169,0.0,2176.0,250.0,0.0,74.0,0.0,0.0,0.0,0.0,1.0
170,0.0,529.0,797.0,0.0,0.0,1138.0,36.0,0.0,0.0,1.0
171,1028.0,0.0,239.0,0.0,247.0,778.0,208.0,0.0,0.0,1.0
172,0.0,0.0,467.0,1327.0,706.0,0.0,0.0,0.0,0.0,1.0
173,0.0,77.0,0.0,346.0,2077.0,0.0,0.0,0.0,0.0,1.0
174,114.0,434.0,913.0,144.0,0.0,0.0,1.0,0.0,894.0,1.0
175,0.0,47.0,23.0,595.0,1535.0,300.0,0.0,0.0,0.0,1.0
176,0.0,33.0,0.0,1334.0,29.0,946.0,0.0,0.0,158.0,1.0
177,380.0,0.0,173.0,897.0,162.0,0.0,888.0,0.0,0.0,1.0
178,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,0.0,141.0,0.0,102.0,2257.0,0.0,0.0,0.0,0.0,1.0
180,0.0,0.0,112.0,2313.0,75.0,0.0,0.0,0.0,0.0,1.0
181,0.0,24.0,0.0,0.0,0.0,27.0,0.0,0.0,2449.0,1.0
182,0.0,5.0,0.0,1153.0,1342.0,0.0,0.0,0.0,0.0,1.0
183,0.0,0.0,963.0,1535.0,2.0,0.0,0.0,0.0,0.0,1.0
184,0.0,0.0,47.0,2218.0,21.0,0.0,0.0,0.0,214.0,1.0
185,1003.0,54.0,1059.0,292.0,0.0,51.0,41.0,0.0,0.0,1.0
186,1118.0,0.0,656.0,0.0,0.0,0.0,0.0,562.0,164.0,1.0
187,792.0,0.0,19.0,0.0,1627.0,62.0,0.0,0.0,0.0,1.0
188,153.0,0.0,312.0,2020.0,15.0,0.0,0.0,0.0,0.0,1.0
189,0.0,79.0,5.0,2332.0,6.0,78.0,0.0,0.0,0.0,1.0
190,0.0,0.0,23.0,2414.0,63.0,0.0,0.0,0.0,0.0,1.0
191,0.0,656.0,0.0,0.0,1662.0,182.0,0.0,0.0,0.0,1.0
192,1577.0,0.0,321.0,0.0,0.0,0.0,448.0,0.0,154.0,1.0
193,10.0,2020.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0
194,0.0,2317.0,0.0,154.0,29.0,0.0,0.0,0.0,0.0,1.0
195,913.0,279.0,817.0,491.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0.0,0.0,0.0,135.0,2344.0,21.0,0.0,0.0,0.0,1.0
197,0.0,1453.0,243.0,422.0,257.0,125.0,0.0,0.0,0.0,1.0
198,0.0,2183.0,0.0,81.0,236.0,0.0,0.0,0.0,0.0,1.0
199,69.0,1443.0,8.0,81.0,191.0,694.0,0.0,0.0,14.0,1.0
200,0.0,2147.0,346.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
201,0.0,3.0,69.0,2428.0,0.0,0.0,0.0,0.0,0.0,1.0
202,0.0,2319.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0
203,0.0,1112.0,366.0,0.0,777.0,0.0,242.0,3.0,0.0,1.0
204,0.0,135.0,155.0,0.0,2127.0,83.0,0.0,0.0,0.0,1.0
205,220.0,295.0,1665.0,0.0,320.0,0.0,0.0,0.0,0.0,1.0
206,0.0,13.0,425.0,0.0,715.0,1347.0,0.0,0.0,0.0,1.0
207,0.0,0.0,101.0,747.0,1509.0,121.0,0.0,0.0,22.0,1.0
208,1335.0,0.0,332.0,833.0,0.0,0.0,0.0,0.0,0.0,1.0
209,1199.0,0.0,0.0,533.0,206.0,66.0,0.0,0.0,496.0,1.0
210,9.0,134.0,0.0,2357.0,0.0,0.0,0.0,0.0,0.0,1.0
211,0.0,0.0,11.0,0.0,420.0,1853.0,216.0,0.0,0.0,1.0
212,1670.0,0.0,478.0,352.0,0.0,0.0,0.0,0.0,0.0,1.0
213,400.0,333.0,0.0,711.0,739.0,0.0,0.0,0.0,317.0,1.0
214,512.0,54.0,87.0,1309.0,144.0,0.0,177.0,156.0,61.0,1.0
215,8.0,30.0,712.0,1655.0,95.0,0.0,0.0,0.0,0.0,1.0
216,0.0,436.0,63.0,1467.0,528.0,0.0,6.0,0.0,0.0,1.0
217,463.0,0.0,1543.0,342.0,127.0,0.0,25.0,0.0,0.0,1.0
218,495.0,0.0,1453.0,0.0,485.0,67.0,0.0,0.0,0.0,1.0
219,686.0,0.0,1355.0,0.0,452.0,0.0,7.0,0.0,0.0,1.0
220,191.0,959.0,204.0,0.0,478.0,481.0,182.0,0.0,5.0,1.0
221,1994.0,0.0,0.0,482.0,0.0,0.0,15.0,0.0,9.0,1.0
222,151.0,0.0,462.0,937.0,950.0,0.0,0.0,0.0,0.0,1.0
223,0.0,0.0,363.0,353.0,1784.0,0.0,0.0,0.0,0.0,1.0
224,0.0,649.0,0.0,9.0,1842.0,0.0,0.0,0.0,0.0,1.0
225,210.0,1614.0,93.0,51.0,0.0,0.0,532.0,0.0,0.0,1.0
226,1212.0,1206.0,10.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0
227,0.0,1044.0,0.0,1314.0,0.0,0.0,142.0,0.0,0.0,1.0
228,0.0,0.0,5.0,108.0,917.0,1470.0,0.0,0.0,0.0,1.0
229,465.0,0.0,106.0,583.0,55.0,0.0,1291.0,0.0,0.0,1.0
230,0.0,0.0,2.0,110.0,2143.0,245.0,0.0,0.0,0.0,1.0
231,346.0,0.0,0.0,806.0,1322.0,26.0,0.0,0.0,0.0,1.0
232,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,1.0
233,2298.0,0.0,48.0,154.0,0.0,0.0,0.0,0.0,0.0,1.0
234,0.0,0.0,0.0,443.0,2057.0,0.0,0.0,0.0,0.0,1.0
235,0.0,1971.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,0.0,0.0,0.0,1620.0,543.0,337.0,0.0,0.0,0.0,1.0
237,866.0,0.0,0.0,0.0,511.0,1123.0,0.0,0.0,0.0,1.0
238,600.0,232.0,336.0,1332.0,0.0,0.0,0.0,0.0,0.0,1.0
239,1644.0,0.0,0.0,826.0,0.0,0.0,0.0,0.0,30.0,1.0
240,140.0,0.0,112.0,0.0,1872.0,376.0,0.0,0.0,0.0,1.0
241,1524.0,17.0,0.0,575.0,0.0,0.0,384.0,0.0,0.0,1.0
242,294.0,35.0,285.0,1886.0,0.0,0.0,0.0,0.0,0.0,1.0
243,0.0,957.0,0.0,188.0,1284.0,71.0,0.0,0.0,0.0,1.0
244,242.0,0.0,458.0,0.0,1800.0,0.0,0.0,0.0,0.0,1.0
245,0.0,457.0,461.0,1049.0,533.0,0.0,0.0,0.0,0.0,1.0
246,0.0,863.0,119.0,746.0,51.0,406.0,315.0,0.0,0.0,1.0
247,0.0,0.0,650.0,1731.0,0.0,3.0,112.0,4.0,0.0,1.0
248,0.0,0.0,0.0,1724.0,632.0,144.0,0.0,0.0,0.0,1.0
249,876.0,0.0,0.0,386.0,1238.0,0.0,0.0,0.0,0.0,1.0
250,1502.0,0.0,88.0,150.0,17.0,561.0,69.0,0.0,113.0,1.0
251,0.0,0.0,811.0,99.0,1590.0,0.0,0.0,0.0,0.0,1.0
252,0.0,0.0,0.0,84.0,656.0,0.0,0.0,0.0,1760.0,1.0
253,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,336.0,0.0,20.0,1188.0,952.0,0.0,0.0,0.0,4.0,1.0
255,0.0,170.0,540.0,568.0,1222.0,0.0,0.0,0.0,0.0,1.0
256,0.0,302.0,0.0,1863.0,0.0,3.0,172.0,0.0,160.0,1.0
257,380.0,0.0,1679.0,17.0,0.0,424.0,0.0,0.0,0.0,1.0
258,46.0,138.0,754.0,1562.0,0.0,0.0,0.0,0.0,0.0,1.0
259,0.0,1079.0,0.0,409.0,1012.0,0.0,0.0,0.0,0.0,1.0
260,558.0,244.0,1545.0,0.0,28.0,0.0,73.0,0.0,52.0,1.0
261,0.0,2408.0,0.0,0.0,0.0,14.0,25.0,53.0,0.0,1.0
262,0.0,0.0,6.0,2357.0,0.0,3.0,134.0,0.0,0.0,1.0
263,0.0,1009.0,100.0,238.0,1153.0,0.0,0.0,0.0,0.0,1.0
264,0.0,323.0,0.0,1113.0,1064.0,0.0,0.0,0.0,0.0,1.0
265,0.0,13.0,2.0,1530.0,824.0,0.0,131.0,0.0,0.0,1.0
266,1244.0,14.0,37.0,0.0,584.0,0.0,621.0,0.0,0.0,1.0
267,0.0,37.0,0.0,50.0,2413.0,0.0,0.0,0.0,0.0,1.0
268,2210.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0,15.0,1.0
269,0.0,193.0,204.0,851.0,1252.0,0.0,0.0,0.0,0.0,1.0
270,0.0,0.0,421.0,1776.0,3.0,222.0,0.0,78.0,0.0,1.0
271,0.0,1300.0,229.0,389.0,481.0,0.0,0.0,0.0,101.0,1.0
272,0.0,354.0,0.0,1930.0,7.0,94.0,115.0,0.0,0.0,1.0
273,187.0,0.0,664.0,97.0,408.0,981.0,151.0,0.0,12.0,1.0
274,0.0,0.0,400.0,0.0,224.0,1099.0,0.0,0.0,777.0,1.0
275,0.0,1214.0,273.0,0.0,0.0,0.0,1013.0,0.0,0.0,1.0
276,426.0,0.0,17.0,498.0,0.0,71.0,1488.0,0.0,0.0,1.0
277,0.0,241.0,123.0,1812.0,214.0,0.0,0.0,0.0,110.0,1.0
278,0.0,0.0,496.0,68.0,0.0,1.0,1910.0,25.0,0.0,1.0
279,0.0,1400.0,1067.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0
280,2077.0,283.0,25.0,53.0,0.0,0.0,43.0,0.0,19.0,1.0
281,0.0,0.0,0.0,0.0,549.0,1289.0,662.0,0.0,0.0,1.0
282,92.0,1624.0,164.0,420.0,200.0,0.0,0.0,0.0,0.0,1.0
283,0.0,1521.0,459.0,113.0,407.0,0.0,0.0,0.0,0.0,1.0
284,0.0,0.0,0.0,696.0,1804.0,0.0,0.0,0.0,0.0,1.0
285,1203.0,224.0,795.0,0.0,0.0,0.0,278.0,0.0,0.0,1.0
286,866.0,180.0,0.0,376.0,1078.0,0.0,0.0,0.0,0.0,1.0
287,0.0,0.0,0.0,756.0,258.0,0.0,1486.0,0.0,0.0,1.0
288,51.0,0.0,15.0,1083.0,1180.0,171.0,0.0,0.0,0.0,1.0
289,0.0,280.0,38.0,272.0,0.0,0.0,1910.0,0.0,0.0,1.0
290,0.0,713.0,32.0,849.0,906.0,0.0,0.0,0.0,0.0,1.0
291,1106.0,0.0,966.0,423.0,5.0,0.0,0.0,0.0,0.0,1.0
292,666.0,0.0,903.0,0.0,0.0,0.0,931.0,0.0,0.0,1.0
293,259.0,0.0,0.0,0.0,2241.0,0.0,0.0,0.0,0.0,1.0
294,0.0,1.0,0.0,0.0,2298.0,201.0,0.0,0.0,0.0,1.0
295,26.0,1561.0,442.0,0.0,471.0,0.0,0.0,0.0,0.0,1.0
296,0.0,0.0,813.0,84.0,1511.0,92.0,0.0,0.0,0.0,1.0
297,0.0,0.0,313.0,938.0,1004.0,245.0,0.0,0.0,0.0,1.0
298,785.0,944.0,62.0,0.0,709.0,0.0,0.0,0.0,0.0,1.0
